Function,Class,Method,Group,Milestone,ClassMethod,
DataFrame.to_string,DataFrame,to_string,Serialization / IO / conversion,,DataFrame.to_string,
DataFrame.to_clipboard,DataFrame,to_clipboard,Serialization / IO / conversion,,DataFrame.to_clipboard,
DataFrame.to_markdown,DataFrame,to_markdown,Serialization / IO / conversion,,DataFrame.to_markdown,
DataFrame.style,DataFrame,style,Serialization / IO / conversion,,DataFrame.style,
DataFrame.__dataframe__,DataFrame,__dataframe__,Serialization / IO / conversion,,DataFrame.__dataframe__,
Series.index,Series,index,Attributes,phase 1,Series.index,
Series.array,Series,array,Attributes,,Series.array,
Series.values,Series,values,Attributes,phase 1,Series.values,
Series.dtype,Series,dtype,Attributes,,Series.dtype,
Series.shape,Series,shape,Attributes,phase 1,Series.shape,
Series.nbytes,Series,nbytes,Attributes,,Series.nbytes,
Series.ndim,Series,ndim,Attributes,,Series.ndim,
Series.size,Series,size,Attributes,phase 1,Series.size,
Series.T,Series,T,Attributes,phase 1,Series.T,
Series.memory_usage,Series,memory_usage,Attributes,,Series.memory_usage,
Series.hasnans,Series,hasnans,Attributes,,Series.hasnans,
Series.empty,Series,empty,Attributes,phase 1,Series.empty,
Series.dtypes,Series,dtypes,Attributes,,Series.dtypes,
Series.name,Series,name,Attributes,,Series.name,
Series.flags,Series,flags,Attributes,,Series.flags,
Series.set_flags,Series,set_flags,Attributes,,Series.set_flags,
Series.astype,Series,astype,Conversion,phase 1,Series.astype,
Series.convert_dtypes,Series,convert_dtypes,Conversion,,Series.convert_dtypes,
Series.infer_objects,Series,infer_objects,Conversion,,Series.infer_objects,
Series.copy,Series,copy,Conversion,phase 1,Series.copy,
Series.bool,Series,bool,Conversion,,Series.bool,
Series.to_numpy,Series,to_numpy,Conversion,phase 1,Series.to_numpy,
Series.to_period,Series,to_period,Conversion,,Series.to_period,
Series.to_timestamp,Series,to_timestamp,Conversion,,Series.to_timestamp,
Series.to_list,Series,to_list,Conversion,phase 1,Series.to_list,
Series.__array__,Series,__array__,Conversion,,Series.__array__,
Series.get,Series,get,"Indexing, iteration",on-hold,Series.get,
Series.at,Series,at,"Indexing, iteration",,Series.at,
Series.iat,Series,iat,"Indexing, iteration",,Series.iat,
Series.loc,Series,loc,"Indexing, iteration",phase 1,Series.loc,
Series.iloc,Series,iloc,"Indexing, iteration",phase 1,Series.iloc,
Series.__iter__,Series,__iter__,"Indexing, iteration",,Series.__iter__,
Series.items,Series,items,"Indexing, iteration",on-hold,Series.items,
Series.keys,Series,keys,"Indexing, iteration",on-hold,Series.keys,
Series.pop,Series,pop,"Indexing, iteration",,Series.pop,
Series.item,Series,item,"Indexing, iteration",,Series.item,
Series.xs,Series,xs,"Indexing, iteration",,Series.xs,
Series.add,Series,add,Binary operator functions,phase 1,Series.add,
Series.sub,Series,sub,Binary operator functions,phase 1,Series.sub,
Series.mul,Series,mul,Binary operator functions,,Series.mul,
Series.div,Series,div,Binary operator functions,,Series.div,
Series.truediv,Series,truediv,Binary operator functions,,Series.truediv,
Series.floordiv,Series,floordiv,Binary operator functions,,Series.floordiv,
Series.mod,Series,mod,Binary operator functions,,Series.mod,
Series.pow,Series,pow,Binary operator functions,,Series.pow,
Series.radd,Series,radd,Binary operator functions,,Series.radd,
Series.rsub,Series,rsub,Binary operator functions,,Series.rsub,
Series.rmul,Series,rmul,Binary operator functions,,Series.rmul,
Series.rdiv,Series,rdiv,Binary operator functions,,Series.rdiv,
Series.rtruediv,Series,rtruediv,Binary operator functions,,Series.rtruediv,
Series.rfloordiv,Series,rfloordiv,Binary operator functions,,Series.rfloordiv,
Series.rmod,Series,rmod,Binary operator functions,,Series.rmod,
Series.rpow,Series,rpow,Binary operator functions,,Series.rpow,
Series.combine,Series,combine,Binary operator functions,,Series.combine,
Series.combine_first,Series,combine_first,Binary operator functions,,Series.combine_first,
Series.round,Series,round,Binary operator functions,phase 2,Series.round,
Series.lt,Series,lt,Binary operator functions,,Series.lt,
Series.gt,Series,gt,Binary operator functions,,Series.gt,
Series.le,Series,le,Binary operator functions,,Series.le,
Series.ge,Series,ge,Binary operator functions,,Series.ge,
Series.ne,Series,ne,Binary operator functions,,Series.ne,
Series.eq,Series,eq,Binary operator functions,,Series.eq,
Series.product,Series,product,Binary operator functions,,Series.product,
Series.dot,Series,dot,Binary operator functions,,Series.dot,
Series.apply,Series,apply,"Function application, GroupBy & window",phase 1,Series.apply,
Series.agg,Series,agg,"Function application, GroupBy & window",phase 1,Series.agg,
Series.aggregate,Series,aggregate,"Function application, GroupBy & window",,Series.aggregate,
Series.transform,Series,transform,"Function application, GroupBy & window",,Series.transform,
Series.map,Series,map,"Function application, GroupBy & window",on-hold,Series.map,
Series.groupby,Series,groupby,"Function application, GroupBy & window",phase 1,Series.groupby,
Series.rolling,Series,rolling,"Function application, GroupBy & window",phase 2,Series.rolling,
Series.expanding,Series,expanding,"Function application, GroupBy & window",,Series.expanding,
Series.ewm,Series,ewm,"Function application, GroupBy & window",,Series.ewm,
Series.pipe,Series,pipe,"Function application, GroupBy & window",,Series.pipe,
Series.abs,Series,abs,Computations / descriptive stats,,Series.abs,
Series.all,Series,all,Computations / descriptive stats,,Series.all,
Series.any,Series,any,Computations / descriptive stats,,Series.any,
Series.autocorr,Series,autocorr,Computations / descriptive stats,,Series.autocorr,
Series.between,Series,between,Computations / descriptive stats,,Series.between,
Series.clip,Series,clip,Computations / descriptive stats,,Series.clip,
Series.corr,Series,corr,Computations / descriptive stats,,Series.corr,
Series.count,Series,count,Computations / descriptive stats,phase 1,Series.count,
Series.cov,Series,cov,Computations / descriptive stats,,Series.cov,
Series.cummax,Series,cummax,Computations / descriptive stats,phase 2,Series.cummax,
Series.cummin,Series,cummin,Computations / descriptive stats,phase 2,Series.cummin,
Series.cumprod,Series,cumprod,Computations / descriptive stats,,Series.cumprod,
Series.cumsum,Series,cumsum,Computations / descriptive stats,phase 2,Series.cumsum,
Series.describe,Series,describe,Computations / descriptive stats,phase 2,Series.describe,
Series.diff,Series,diff,Computations / descriptive stats,phase 2,Series.diff,
Series.factorize,Series,factorize,Computations / descriptive stats,,Series.factorize,
Series.kurt,Series,kurt,Computations / descriptive stats,,Series.kurt,
Series.max,Series,max,Computations / descriptive stats,phase 1,Series.max,
Series.mean,Series,mean,Computations / descriptive stats,phase 1,Series.mean,
Series.median,Series,median,Computations / descriptive stats,phase 1,Series.median,
Series.min,Series,min,Computations / descriptive stats,phase 1,Series.min,
Series.mode,Series,mode,Computations / descriptive stats,,Series.mode,
Series.nlargest,Series,nlargest,Computations / descriptive stats,,Series.nlargest,
Series.nsmallest,Series,nsmallest,Computations / descriptive stats,,Series.nsmallest,
Series.pct_change,Series,pct_change,Computations / descriptive stats,,Series.pct_change,
Series.prod,Series,prod,Computations / descriptive stats,,Series.prod,
